,glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref
8055,Galf(b1-5)Galf(b1-6)Galf,Coniella_sp,Coniella,Schizoparmeaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8056,[Galf(b1-2)]Man(a1-6)Man,Coniella_sp,Coniella,Schizoparmeaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8057,[Galf(b1-6)Galf(b1-5)Galf(b1-2)]Man(a1-6)Man(a1-6)[Galf(b1-2)]Man(a1-6)Man,Coniella_sp,Coniella,Schizoparmeaceae,Diaporthales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8058,Gal(b1-4)Glc-ol,Connochaetes_gnou,Connochaetes,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/19426824/
8059,Gal(b1-4)Glc-ol,Connochaetes_taurinus,Connochaetes,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/19426824/
8060,L-Gal(a1-2)Gal(b1-3)[L-Gal(a1-4)GlcNAc(a1-6)]GalNAc,Conus_consors,Conus,Conidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Eukarya,https://www.mdpi.com/1420-3049/20/6/10622/htm
8061,Gal(b1-3)GalNAc,Conus_geographus,Conus,Conidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8062,Glc(b1-3)Glc(b1-3)Glc,Cookeina_speciosa,Cookeina,Sarcoscyphaceae,Pezizales,Pezizomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/29352878/
8063,[Glc(b1-6)]Glc(b1-3)Glc,Cookeina_speciosa,Cookeina,Sarcoscyphaceae,Pezizales,Pezizomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/29352878/
8064,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cooperia_onchophora,Cooperia,Cooperiidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://www.sciencedirect.com/science/article/pii/S016668511630161X
8065,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Cooperia_onchophora,Cooperia,Cooperiidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://www.sciencedirect.com/science/article/pii/S016668511630161X
8066,GlcNAc(b1-4)GlcNAc,Coprinopsis_cinerea,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/27573573/
8067,Gal(a1-6)[Fuc(a1-2)]Gal(a1-6)Gal(a1-6)Gal(a1-6)Gal,Coprinus_comatus,Coprinus,Agaricaceae,Agaricales,Basidiomycetes,Basidiomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/29649535/
8068,Glc(a1-1)Glc,Coprinus_comatus,Coprinus,Agaricaceae,Agaricales,Basidiomycetes,Basidiomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/S0144861712008193
8069,Glc(a1-4)Glc(a1-4)[Glc(a1-6)Glc(a1-6)]Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc,Coprinus_comatus,Coprinus,Agaricaceae,Agaricales,Basidiomycetes,Basidiomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/S0144861712008193
8070,Glc(a1-4)Glc(a1-4)[Glc(a1-6)]Glc(a1-4)Glc(a1-4)[Glc(a1-6)Glc(a1-6)]Glc(a1-4)Glc,Coprinus_comatus,Coprinus,Agaricaceae,Agaricales,Basidiomycetes,Basidiomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/23218369/
8071,Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc,Coprinus_comatus,Coprinus,Agaricaceae,Agaricales,Basidiomycetes,Basidiomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/S0144861712008193
8072,[Galf(b1-2)]Man(a1-6)Man,Copromyces_sp,Copromyces,Sordariaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8073,[Galf(b1-2)]Man(a1-6)Man(a1-6)Man,Copromyces_sp,Copromyces,Sordariaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8074,Man(a1-4)Man(b1-4)Glc1Cer,Corbicula_japonica,Corbicula,Cyrenidae,Venerida,Bivalvia,Mollusca,Animalia,Eukarya,
8075,Man(b1-4)Glc1Cer,Corbicula_japonica,Corbicula,Cyrenidae,Venerida,Bivalvia,Mollusca,Animalia,Eukarya,
8076,Gal4Me(b1-3)GalNAc(b1-3)Fuc(a1-4)GlcNAc(b1-2)Man(a1-3)Xyl(a1-2)Man(b1-4)Glc,Corbicula_sandai,Corbicula,Cyrenidae,Venerida,Bivalvia,Mollusca,Animalia,Eukarya,
8077,Gal4Me(b1-3)GalNAc(b1-3)Fuc(a1-4)GlcNAc(b1-2)Man(a1-3)[Xyl(a1-2)]Man(b1-4)Glc,Corbicula_sandai,Corbicula,Cyrenidae,Venerida,Bivalvia,Mollusca,Animalia,Eukarya,
8078,Man(a1-3)Man(b1-4)Glc1Cer,Corbicula_sandai,Corbicula,Cyrenidae,Venerida,Bivalvia,Mollusca,Animalia,Eukarya,gwb
8079,Man(a1-4)Man(b1-4)Glc1Cer,Corbicula_sandai,Corbicula,Cyrenidae,Venerida,Bivalvia,Mollusca,Animalia,Eukarya,
8080,Man(b1-4)Man,Corbicula_sandai,Corbicula,Cyrenidae,Venerida,Bivalvia,Mollusca,Animalia,Eukarya,
8081,Glc(b1-3)[Glc(b1-6)Glc(b1-6)Glc(b1-6)]Glc(b1-3)Glc,Cordyceps_dipterigena,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/23218369/
8082,Glc(a1-3)Glc(a1-3)Glc,Cordyceps_gunnii,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25263858/
8083,Glc(a1-1)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/30442223/
8084,Glc(a1-4)Glc(a1-4)[Glc(a1-3)Rha(b1-6)]Glc(b1-6)Glc(b1-6)Glc(b1-4)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/24507284/
8085,Glc(a1-4)Glc(a1-4)[Glc(a1-6)]Glc(b1-4)Glc(a1-4)Glc(a1-4)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33878353/
8086,Glc(b1-2)[Man(a1-2)Man(a1-6)]Man(a1-2)Man6Me(a1-2)[Galf(b1-2)Galf(b1-6)]Man(a1-4)Glc(b1-4)Glc(b1-4)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/S0141813018363700
8087,Glc(b1-3)Glc(b1-3)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25330371/
8088,Glc(b1-6)Glc(b1-6)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/S0141813018363700
8089,Man(a1-4)Man(a1-4)[Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Glc(a1-3)]Man(a1-4)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8090,Man(a1-6)Man(a1-6)Man(a1-6)[Glc(a1-6)Gal(b1-6)Gal(b1-3)]Man(a1-6)Man(a1-6)Man(a1-6)Man(a1-6)[Gal(b1-4)Glc(a1-3)]Man(a1-6)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8091,Man(b1-2)[Glc(a1-6)]Man(b1-2)[Gal(b1-4)]Man(b1-6)Man(b1-2)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8092,Man(b1-6)[Gal(b1-2)Man6Me(a1-4)]Man(b1-6)Man(a1-4)Man(b1-6)[Galf(b1-2)Gal(b1-4)]Man(b1-6)Man(a1-4)Man(b1-4)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33662421/
8093,Man(b1-6)[Gal(b1-2)Man6Me(a1-4)]Man(b1-6)Man(a1-4)Man(b1-6)[Galf(b1-2)Galf(b1-4)]Man(b1-6)Man(a1-4)Man(b1-4)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33662421/
8094,Man(b1-6)[Galf(a1-4)]Man(b1-6)Man(a1-4)Man(b1-6)[Gal(b1-2)]Man(a1-4)Man(b1-6)[Gal(b1-2)Galf(b1-4)Glc6Me(b1-4)]Man(b1-6)Man(a1-4)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33878353/
8095,Man(b1-6)[Galf(a1-4)]Man(b1-6)Man(a1-4)Man(b1-6)[Gal(b1-2)]Man(a1-4)Man(b1-6)[Gal(b1-4)]Man(b1-6)Man(a1-4)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33878353/
8096,Man(b1-6)[Galf(b1-2)Galf(b1-4)]Man(b1-6)Man(a1-4)Man(b1-6)[Gal(b1-2)]Man(a1-4)Man(b1-6)[Gal(b1-2)Galf(b1-4)Glc6Me(b1-4)]Man(b1-6)Man(a1-4)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33878353/
8097,Man(b1-6)[Galf(b1-2)Galf(b1-4)]Man(b1-6)Man(a1-4)Man(b1-6)[Gal(b1-2)]Man(a1-4)Man(b1-6)[Gal(b1-4)]Man(b1-6)Man(a1-4)Man,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33878353/
8098,[Gal(b1-4)Man(b1-6)]Glc(a1-6)Glc(a1-3)[Gal(b1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)]Glc(a1-3)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/29168868/
8099,[Glc(b1-6)]Glc(b1-3)Glc,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://onlinelibrary.wiley.com/doi/10.1002/9781118930458.ch20
8100,[L-Man(a1-5)Araf(a1-5)Araf(a1-6)]Gal(a1-3)[L-Man(a1-2)L-Man(a1-2)L-Man(a1-6)]Gal(a1-3)[L-Man(a1-3)Ara(b1-3)Ara(b1-6)]Gal(a1-3)Gal,Cordyceps_militaris,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25785351/
8101,GalNAc(b1-4)[Gal(a1-3)]ManNAc(b1-3)GalNAc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/23544546/
8102,Glc(a1-4)Glc(a1-4)[Glc(a1-4)Glc(a1-4)Glc(a1-6)]Glc(a1-4)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/23218369/
8103,Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Man(a1-6)[Gal(b1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Man(a1-3)]Man(a1-6)Man(a1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubs.rsc.org/en/content/chapter/bk9781849738835-00303/978-1-84973-883-5
8104,Glc(b1-2)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/26512632/
8105,Glc(b1-3)Glc(b1-3)[Glc(b1-4)]Glc(b1-3)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/23218369/
8106,Glc(b1-3)[Glc(b1-6)]Glc(b1-3)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/24721078/
8107,Glc(b1-3)[Glc(b1-6)]Glc(b1-3)Glc(b1-3)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/26917398/
8108,Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)[Glc(b1-3)]Glc(b1-4)Glc(b1-4)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/27514485/
8109,Man(a1-2)[Man(a1-2)Galf(b1-2)Galf(b1-2)Galf(b1-6)]Man(a1-2)[Man(a1-6)]Man(a1-2)[GalA(b1-2)Galf(b1-6)]Man(a1-2)[Man(a1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-6)]Man(a1-2)Man(a1-2)Man(a1-2)Man,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/S1756464616301426
8110,[Gal(a1-6)]Man(b1-4)[Galf(b1-6)Galf(b1-6)]Man(b1-4)Man(b1-4)Man,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25294588/
8111,[Gal(b1-2)Gal(b1-3)Gal(b1-6)]Man(a1-2)Man(a1-2)Man(a1-2)Man,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25129769/
8112,[Gal(b1-3)Gal(b1-3)Gal(b1-3)Gal(b1-6)]Man(a1-2)Man(a1-2)Man(a1-2)Man,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25129769/
8113,[Galf(b1-5)Galf(b1-5)Galf(?1-?)]Man(a1-?)Man,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/30246424/
8114,[Glc(a1-2)][Glc(a1-6)]Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-3)[Glc(a1-2)][Glc(a1-6)]Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubs.rsc.org/en/content/chapter/bk9781849738835-00303/978-1-84973-883-5
8115,[Glc(a1-6)]Glc(a1-4)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/B9780444596031000138
8116,[Glc(b1-6)]Glc(b1-3)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://www.sciencedirect.com/science/article/pii/B9780444596031000138
8117,[Man(a1-6)]Glc(a1-3)Man(a1-3)Man(a1-3)Man(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)[Gal(a1-6)]Glc(a1-4)Glc,Cordyceps_sinensis,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25960753/
8118,[Gal(b2-4)]Glc(b1-6)Glc,Cordyceps_tenuipes,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8119,[Man(b1-4)]Glc(b1-6)Glc,Cordyceps_tenuipes,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
8120,Araf(a1-3)[Gal(b1-6)]Gal(b1-5)Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)[Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-5)Araf(a1-3)]Gal,Coreopsis_tinctoria,Coreopsis,Asteraceae,Asterales,Dicotyledons,Angiosperms,Plantae,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31151520/
8121,Araf(a1-4)Glc(a1-3)Glc(a1-3)Glc(a1-3)[Glc(a1-6)Gal(b1-6)]Man(b1-1)Glc,Coreopsis_tinctoria,Coreopsis,Asteraceae,Asterales,Dicotyledons,Angiosperms,Plantae,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33529680/
8122,Glc(a1-3)[Araf(a1-6)]Man(b1-6)[Glc(a1-2)Araf(a1-3)][Araf(a1-2)]Glc(a1-6)Gal(b1-1)Glc,Coreopsis_tinctoria,Coreopsis,Asteraceae,Asterales,Dicotyledons,Angiosperms,Plantae,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33529680/
8123,Glc(a1-6)Glc(a1-6)Gal(b1-6)[Glc(a1-2)Araf(a1-3)]Man(b1-1)Glc,Coreopsis_tinctoria,Coreopsis,Asteraceae,Asterales,Dicotyledons,Angiosperms,Plantae,Eukarya,https://pubmed.ncbi.nlm.nih.gov/33529680/
8124,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8125,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal3Me(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8126,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Xyl(b1-2)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8127,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[Xyl(b1-2)][Man3Me(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8128,Fuc(a1-2)Gal(b1-3/4)[Fuc(a1-3/4)]HexNAc(?1-3)[Neu5Ac(a2-6)]GalNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8129,Gal(?1-3)GalNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8130,Gal(?1-3)[Gal(?1-6)]GalNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8131,Gal(?1-3)[GalOMe(?1-6)]GalNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8132,Gal(?1-?)GalOMe(?1-6)[Gal(?1-3)]GalNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8133,Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)[GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8134,Gal3Me(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal3Me(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8135,Gal3Me(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Xyl(b1-2)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8136,Gal3Me(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[Xyl(b1-2)][Man3Me(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,gwb
8137,GalOMe(?1-3)[GalOMe(?1-6)]GalNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8138,GlcNAc(b1-2)Man(a1-3)[ManOS(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8139,GlcNAc(b1-2)Man(a1-3)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8140,GlcNAc(b1-2)Man(a1-6)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8141,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8142,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8143,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8144,Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8145,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8146,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8147,Man(a1-3/6)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)][Fuc(a1-6)]GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
8148,ManOMe(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Cornu_aspersum,Cornu,Helicidae,Stylommatophora,Gastropoda,Mollusca,Animalia,Eukarya,https://glycopost.glycosmos.org/entry/GPST000297
